"","Var1","Var2","value"
"3","A Look at MOOCs","#transformDH",2
"4","Access + Digital Literacy","#transformDH",3
"5","Alt-Ac","#transformDH",3
"7","Authority Control: Information and Library Science","#transformDH",7
"8","Badges for Lifelong Learning","#transformDH",2
"9","Badges in Higher Ed","#transformDH",1
"12","Better things to do","#transformDH",2
"21","Collaboration","#transformDH",5
"22","Collaborative Data","#transformDH",1
"24","Conservation Connection","#transformDH",1
"34","Digital Dissertations","#transformDH",7
"36","Digital History","#transformDH",7
"38","Digital Media & Learning Competition 1","#transformDH",3
"40","Digital Media & Learning Competition 3","#transformDH",2
"41","Digital Media & Learning Competition 4","#transformDH",1
"43","Digital Publishing","#transformDH",4
"46","Duke FHI Grad Digital","#transformDH",1
"47","Duke PhD Lab","#transformDH",1
"51","Electronic Literature Organization","#transformDH",9
"53","Fembot Collective","#transformDH",14
"54","Feminist Scholars Digital Workshop","#transformDH",4
"60","Global Outlook :: Digital Humanities","#transformDH",4
"61","Grand Challenges and Enduring Questions","#transformDH",2
"62","Graphic, Visual and Multi-modal Storytelling","#transformDH",9
"63","GreaterThanGames Virtual Lab","#transformDH",1
"64","HASTAC Nominating Committee","#transformDH",1
"65","HASTAC Scholars - Evaluation of Impact","#transformDH",1
"66","HASTAC Scholars @ Liberal Arts Colleges","#transformDH",3
"67","HASTAC Steering Committee","#transformDH",2
"68","HASTAC virtual advisors","#transformDH",1
"69","HASTAC@Duke","#transformDH",1
"70","Historical Geography in Action: Linking Information Technology to Urban Planning Policies","#transformDH",1
"72","How They Got Game: Cultural Implications of Interactive Simulations and Video Games","#transformDH",1
"73","HyperCities","#transformDH",2
"94","New Media and Social Movements","#transformDH",11
"95","New Media Literacy Group","#transformDH",1
"104","Pedagogy","#transformDH",11
"106","Planet Stewards: Personalized Learning in 3D GameLab","#transformDH",1
"109","Queer DML","#transformDH",12
"110","Race Card I.Q.","#transformDH",1
"114","Scholar Class 2009","#transformDH",2
"115","Scholar Class 2010","#transformDH",5
"116","Scholar Class 2011","#transformDH",7
"117","Scholar Class 2012","#transformDH",11
"118","Scholar Class 2013","#transformDH",15
"119","Scholars","#transformDH",18
"121","Scratch & Share","#transformDH",1
"123","Semantic Web","#transformDH",2
"125","Social Media and Reader Reception","#transformDH",2
"126","Social Media Classroom","#transformDH",1
"127","Sound & Music","#transformDH",2
"128","Staff","#transformDH",1
"136","Texas A&M University Digital Scholars","#transformDH",1
"140","University of Maryland Scholars","#transformDH",1
"142","Unlocked","#transformDH",1
"161","American Graduate: Let's Make It Happen Badges","4-H/USDA Robotics Digital Badges",1
"163","Badges for Lifelong Learning","4-H/USDA Robotics Digital Badges",2
"164","Badges in Higher Ed","4-H/USDA Robotics Digital Badges",1
"165","Badges Work for Vets","4-H/USDA Robotics Digital Badges",1
"168","Black Cloud: Environmental Studies Gaming","4-H/USDA Robotics Digital Badges",1
"177","Collaborative Data","4-H/USDA Robotics Digital Badges",1
"178","Computer Science Student Network Badge System","4-H/USDA Robotics Digital Badges",1
"179","Conservation Connection","4-H/USDA Robotics Digital Badges",1
"185","Design for America: A Badge Community for Innovation","4-H/USDA Robotics Digital Badges",1
"193","Digital Media & Learning Competition 1","4-H/USDA Robotics Digital Badges",1
"194","Digital Media & Learning Competition 2","4-H/USDA Robotics Digital Badges",1
"195","Digital Media & Learning Competition 3","4-H/USDA Robotics Digital Badges",1
"196","Digital Media & Learning Competition 4","4-H/USDA Robotics Digital Badges",13
"197","Digital Media and Learning Competitions","4-H/USDA Robotics Digital Badges",1
"200","Disney-Pixar Wilderness Explorers Badges","4-H/USDA Robotics Digital Badges",1
"203","EarthWorks","4-H/USDA Robotics Digital Badges",1
"207","Fab@School","4-H/USDA Robotics Digital Badges",1
"220","HASTAC Scholars - Evaluation of Impact","4-H/USDA Robotics Digital Badges",1
"224","HASTAC@Duke","4-H/USDA Robotics Digital Badges",1
"231","Intel and Society for Science and the Public Badges","4-H/USDA Robotics Digital Badges",1
"233","LevelUp","4-H/USDA Robotics Digital Badges",1
"234","Leverage for Digital On-Ramps","4-H/USDA Robotics Digital Badges",1
"237","Mobile Action Lab","4-H/USDA Robotics Digital Badges",1
"238","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","4-H/USDA Robotics Digital Badges",1
"241","Moodle as Issuer, Mahara as Displayer","4-H/USDA Robotics Digital Badges",1
"243","My Girl Scout Sash Is An App","4-H/USDA Robotics Digital Badges",2
"244","National Manufacturing Badge System","4-H/USDA Robotics Digital Badges",1
"246","NatureBadges: Open Source Nature & Science Badge System","4-H/USDA Robotics Digital Badges",1
"249","New Media and Social Movements","4-H/USDA Robotics Digital Badges",1
"256","Partners in Learning Network Badges","4-H/USDA Robotics Digital Badges",1
"257","Pathways for Lifelong Learning","4-H/USDA Robotics Digital Badges",1
"258","Pathways to Global Competence: A Badge System for Students","4-H/USDA Robotics Digital Badges",1
"261","Planet Stewards: Personalized Learning in 3D GameLab","4-H/USDA Robotics Digital Badges",1
"263","Preparing Librarians to Meet the Needs of 21st Century Teens","4-H/USDA Robotics Digital Badges",1
"267","S2R Medals","4-H/USDA Robotics Digital Badges",1
"268","SA&FS Learner Driven Badges Project","4-H/USDA Robotics Digital Badges",2
"283","Staff","4-H/USDA Robotics Digital Badges",1
"284","Starlite (TM) Digital Badges Using NASA Content","4-H/USDA Robotics Digital Badges",1
"287","Sweet Water AQUAPONS","4-H/USDA Robotics Digital Badges",1
"303","Voces Moviles (Mobile Voices)","4-H/USDA Robotics Digital Badges",1
"305","Who Built America? Badges for Teaching Disciplinary Literacy in History","4-H/USDA Robotics Digital Badges",1
"309","Youth APPLab","4-H/USDA Robotics Digital Badges",1
"310","Youth Digital Filmmaker Badge System","4-H/USDA Robotics Digital Badges",1
"311","#transformDH","A Look at MOOCs",2
"315","Alt-Ac","A Look at MOOCs",1
"318","Badges for Lifelong Learning","A Look at MOOCs",2
"319","Badges in Higher Ed","A Look at MOOCs",5
"331","Collaboration","A Look at MOOCs",2
"332","Collaborative Data","A Look at MOOCs",1
"334","Conservation Connection","A Look at MOOCs",1
"344","Digital Dissertations","A Look at MOOCs",1
"346","Digital History","A Look at MOOCs",3
"348","Digital Media & Learning Competition 1","A Look at MOOCs",1
"350","Digital Media & Learning Competition 3","A Look at MOOCs",2
"353","Digital Publishing","A Look at MOOCs",1
